stratum,n,agree,p_agree,wilson_lo,wilson_hi,boot_lo,boot_hi,chance_agree,excess_over_chance
expression,36986,22487,0.6079868058184178,0.6030004503695314,0.6129507320353114,0.5830738317240785,0.6364135274298992,0.5043469792684545,0.10363982654996329
activity,1106,988,0.8933092224231465,0.8737341616534485,0.9101615858747191,0.8720257542186539,0.9122896693406378,0.508449718615214,0.38485950380793243
methylation,1102,462,0.4192377495462795,0.3904344941542143,0.44860210681585155,0.3706491449385881,0.6443063405157188,0.40888040553226107,0.010357344014018444
phosphorylation,744,606,0.8145161290322581,0.7849959739921107,0.8408051159046851,0.7752921539980901,0.8500784953086367,0.6400920626662041,0.174424066366054
secretion,286,245,0.8566433566433567,0.8112967685315201,0.8925362884439535,0.8107827550734126,0.9060455117449665,0.7511614259866009,0.10548193065675582
cleavage,182,176,0.967032967032967,0.9299531890695482,0.9848050197756671,0.9415118679050568,0.9893048128342246,0.9567685062190557,0.010264460813911302
response to substance,144,108,0.75,0.6734032433458373,0.8136049380826443,0.6729559748427673,0.8189090678181357,0.5034722222222223,0.24652777777777768
metabolic processing,55,54,0.9818181818181818,0.903942239378376,0.9967832195451589,0.9423076923076923,1.0,0.9818181818181818,0.0
abundance,53,45,0.8490566037735849,0.7294575072380466,0.9214758214915374,0.7316838649155722,0.9538636363636364,0.7116411534353864,0.13741545033819857
uptake,44,42,0.9545454545454546,0.8486500156237035,0.987444890050405,0.8908585858585858,1.0,0.9545454545454546,0.0
transport,40,37,0.925,0.8013576647568946,0.9741639742254119,0.8054166666666667,1.0,0.9274999999999999,-0.0024999999999998357
